K00001	E1.1.1.1	alcohol dehydrogenase
K03721	tyrR	transcriptional regulator of aroF, aroG, tyrA and aromatic amino acid transport
K03722	dinG	ATP-dependent DNA helicase DinG
K03723	mfd	transcription-repair coupling factor (superfamily II helicase)
K03724	lhr	ATP-dependent helicase Lhr and Lhr-like helicase
K03725	K03725	putative ATP-dependent RNA helicase
K03726	helS	ATP-dependent DNA helicase
K03727	helY	ATP-dependent RNA helicase HelY
K03731	E2.4.1.216	trehalose 6-phosphate phosphorylase
K03732	rhlB	ATP-dependent RNA helicase RhlB
K03733	xerC	integrase/recombinase XerC
K03734	apbE	FAD:protein FMN transferase
K03735	eutB	ethanolamine ammonia-lyase large subunit
K03736	eutC	ethanolamine ammonia-lyase small subunit
K03737	por	pyruvate-ferredoxin/flavodoxin oxidoreductase
K03738	aor	aldehyde:ferredoxin oxidoreductase
K03739	dltB	membrane protein involved in D-alanine export
K03740	dltD	D-alanine transfer protein
K03741	arsC	arsenate reductase (thioredoxin)
K03742	pncC	nicotinamide-nucleotide amidase
K03743	pncC	nicotinamide-nucleotide amidase
K03744	lemA	LemA protein
K03745	slyX	SlyX protein
K03746	hns	DNA-binding protein H-NS
K03747	smg	Smg protein
K03748	sanA	SanA protein
K03749	dedD	DedD protein
K03750	moeA	molybdopterin molybdotransferase
K03752	mobA	molybdenum cofactor guanylyltransferase
K03753	mobB	molybdopterin-guanine dinucleotide biosynthesis adapter protein
K03755	adiY	AraC family transcriptional regulator, transcriptional activator of adiA
K03756	potE	putrescine:ornithine antiporter
K03757	cadB	cadaverine:lysine antiporter
K03758	arcD, lysl, lysP	arginine:ornithine antiporter / lysine permease
K03759	adiC	arginine:agmatine antiporter
K03760	eptA	lipid A ethanolaminephosphotransferase
K03761	kgtP	MFS transporter, MHS family, alpha-ketoglutarate permease
K03762	proP	MFS transporter, MHS family, proline/betaine transporter
K03763	polC	DNA polymerase III subunit alpha, Gram-positive type
K03764	metJ	MetJ family transcriptional regulator, methionine regulon repressor
K03765	cadC	transcriptional activator of cad operon
K03767	PPIA	peptidyl-prolyl cis-trans isomerase A (cyclophilin A)
K03768	PPIB, ppiB	peptidyl-prolyl cis-trans isomerase B (cyclophilin B)
K03769	ppiC	peptidyl-prolyl cis-trans isomerase C
K03770	ppiD	peptidyl-prolyl cis-trans isomerase D
K03771	surA	peptidyl-prolyl cis-trans isomerase SurA
K03772	fkpA	FKBP-type peptidyl-prolyl cis-trans isomerase FkpA
K03773	fklB	FKBP-type peptidyl-prolyl cis-trans isomerase FklB
K03774	slpA	FKBP-type peptidyl-prolyl cis-trans isomerase SlpA
K03775	slyD	FKBP-type peptidyl-prolyl cis-trans isomerase SlyD
K03776	aer	aerotaxis receptor
K03777	dld	D-lactate dehydrogenase (quinone)
K03778	ldhA	D-lactate dehydrogenase
K03779	ttdA	L(+)-tartrate dehydratase alpha subunit
K03780	ttdB	L(+)-tartrate dehydratase beta subunit
K03781	katE	catalase
K03782	katG	catalase-peroxidase
K03783	punA	purine-nucleoside phosphorylase
K03784	deoD	purine-nucleoside phosphorylase
K03785	aroD	3-dehydroquinate dehydratase I
K03786	aroQ	3-dehydroquinate dehydratase II
K03787	surE	5'/3'-nucleotidase
K03788	aphA	acid phosphatase (class B)
K03789	rimI	[ribosomal protein S18]-alanine N-acetyltransferase
K03790	rimJ	[ribosomal protein S5]-alanine N-acetyltransferase
K03791	K03791	putative chitinase
K03793	PTR1	pteridine reductase
K03794	sirB	sirohydrochlorin ferrochelatase
K03795	cbiX	sirohydrochlorin cobaltochelatase
K03796	bax	Bax protein
K03797	E3.4.21.102, prc, ctpA	carboxyl-terminal processing protease
K03798	ftsH, hflB	cell division protease FtsH
K03799	htpX	heat shock protein HtpX
K03800	lplA	lipoate---protein ligase
K03801	lipB	lipoyl(octanoyl) transferase
K03802	cphA	cyanophycin synthetase
K03803	rseC	sigma-E factor negative regulatory protein RseC
K03804	mukE	chromosome partition protein MukE
K03805	dsbG	thiol:disulfide interchange protein DsbG
K03806	ampD	N-acetyl-anhydromuramoyl-L-alanine amidase
K03807	ampE	AmpE protein
K03808	pqiA	paraquat-inducible protein A
K03809	wrbA	NAD(P)H dehydrogenase (quinone)
K03810	mviM	virulence factor
K03811	pnuC	nicotinamide mononucleotide transporter
K03812	rmf	ribosome modulation factor
K03813	modD	molybdenum transport protein
K03814	mtgA	monofunctional glycosyltransferase
K03816	xpt	xanthine phosphoribosyltransferase
K03817	rimL	ribosomal-protein-serine acetyltransferase
K03818	wcaF	putative colanic acid biosynthesis acetyltransferase WcaF
K03819	wcaB	putative colanic acid biosynthesis acetyltransferase WcaB
K03820	lnt	apolipoprotein N-acyltransferase
K03821	phaC	poly[(R)-3-hydroxyalkanoate] polymerase subunit PhaC
K03823	pat	phosphinothricin acetyltransferase
K03824	yhbS	putative acetyltransferase
K03825	aaaT	L-phenylalanine/L-methionine N-acetyltransferase
K03826	yiaC	putative acetyltransferase
K03827	yjaB	putative acetyltransferase
K03828	yjgM	putative acetyltransferase
K03829	yedL	putative acetyltransferase
K03830	yafP	putative acetyltransferase
K03831	mogA	molybdopterin adenylyltransferase
K03832	tonB	periplasmic protein TonB
K03833	selB, EEFSEC	selenocysteine-specific elongation factor
K03834	tyrP	tyrosine-specific transport protein
K03835	mtr	tryptophan-specific transport protein
K03836	tnaB	low affinity tryptophan permease
K03837	sdaC	serine transporter
K03838	tdcC	threonine transporter
K03839	fldA, nifF, isiB	flavodoxin I
K03840	fldB	flavodoxin II
K03841	FBP	fructose-1,6-bisphosphatase I
K03851	tpa	taurine-pyruvate aminotransferase
K03852	xsc	sulfoacetaldehyde acetyltransferase
K03855	fixX	ferredoxin like protein
K03856	AROA2	3-deoxy-7-phosphoheptulonate synthase
K03862	vanA	vanillate monooxygenase
K03863	vanB	vanillate monooxygenase ferredoxin subunit
K03885	ndh	NADH:quinone reductase (non-electrogenic)
K03886	MQCRA	menaquinol-cytochrome c reductase iron-sulfur subunit
K03887	MQCRB	menaquinol-cytochrome c reductase cytochrome b subunit
K03888	MQCRC	menaquinol-cytochrome c reductase cytochrome b/c subunit
K03889	qcrC	ubiquinol-cytochrome c reductase cytochrome c subunit
K03890	qcrA	ubiquinol-cytochrome c reductase iron-sulfur subunit
K03891	qcrB	ubiquinol-cytochrome c reductase cytochrome b subunit
K03892	arsR	ArsR family transcriptional regulator, arsenate/arsenite/antimonite-responsive transcriptional repressor
K03893	arsB	arsenical pump membrane protein
K03894	iucA	N2-citryl-N6-acetyl-N6-hydroxylysine synthase
K03895	iucC	aerobactin synthase
K03896	iucB	acetyl CoA:N6-hydroxylysine acetyl transferase
K03897	iucD	lysine N6-hydroxylase
K03918	lat	L-lysine 6-transaminase
K03919	alkB	DNA oxidative demethylase
K03921	FAB2	acyl-[acyl-carrier-protein] desaturase
K03923	mdaB	NADPH dehydrogenase (quinone)
K03924	moxR	MoxR-like ATPase
K03925	mraZ	transcriptional regulator MraZ
K03926	cutA	periplasmic divalent cation tolerance protein
K03928	yvaK	carboxylesterase
K03929	pnbA	para-nitrobenzyl esterase
K03930	estA	putative tributyrin esterase
K03931	ygjK	glucosidase
K03932	lpqC	polyhydroxybutyrate depolymerase
K03933	cpbD	chitin-binding protein
K03969	pspA	phage shock protein A
K03970	pspB	phage shock protein B
K03971	pspD	phage shock protein D
K03972	pspE	phage shock protein E
K03973	pspC	phage shock protein C
K03974	pspF	psp operon transcriptional activator
K03975	dedA	membrane-associated protein
K03976	ybaK, ebsC	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase
K03977	engA, der	GTPase
K03978	engB	GTP-binding protein
K03979	obgE, cgtA, MTG2	GTPase
K03980	murJ, mviN	putative peptidoglycan lipid II flippase
K03981	dsbC	thiol:disulfide interchange protein DsbC
K04013	nrfB	cytochrome c-type protein NrfB
K04014	nrfC	protein NrfC
K04015	nrfD	protein NrfD
K04016	nrfE	cytochrome c-type biogenesis protein NrfE
K04017	nrfF	formate-dependent nitrite reductase complex subunit NrfF
K04018	nrfG	formate-dependent nitrite reductase complex subunit NrfG
K04019	eutA	ethanolamine utilization protein EutA
K04020	eutD	phosphotransacetylase
K04021	eutE	aldehyde dehydrogenase
K04022	eutG	alcohol dehydrogenase
K04023	eutH	ethanolamine transporter
K04024	eutJ	ethanolamine utilization protein EutJ
K04025	eutK	ethanolamine utilization protein EutK
K04026	eutL	ethanolamine utilization protein EutL
K04027	eutM	ethanolamine utilization protein EutM
K04028	eutN	ethanolamine utilization protein EutN
K04029	eutP	ethanolamine utilization protein EutP
K04030	eutQ	ethanolamine utilization protein EutQ
K04031	eutS	ethanolamine utilization protein EutS
K04032	eutT	ethanolamine utilization cobalamin adenosyltransferase
K04033	eutR	AraC family transcriptional regulator, ethanolamine operon transcriptional activator
K04034	bchE	anaerobic magnesium-protoporphyrin IX monomethyl ester cyclase
K04037	chlL	light-independent protochlorophyllide reductase subunit L
K04038	chlN	light-independent protochlorophyllide reductase subunit N
K04039	chlB	light-independent protochlorophyllide reductase subunit B
K04041	fbp3	fructose-1,6-bisphosphatase III
K04042	glmU	bifunctional UDP-N-acetylglucosamine pyrophosphorylase / glucosamine-1-phosphate N-acetyltransferase
K04043	dnaK	molecular chaperone DnaK
K04044	hscA	molecular chaperone HscA
K04045	hscC	molecular chaperone HscC
K04046	yegD	hypothetical chaperone protein
K04047	dps	starvation-inducible DNA-binding protein
K04049	yscB, sctB	type III secretion protein B
K04050	yscE, sctE	type III secretion protein E
K04051	yscG, sctG	type III secretion protein G
K04052	yscH, sctH	type III secretion protein H
K04053	yscI, sctI	type III secretion protein I
K04054	yscK, sctK	type III secretion protein K
K04056	yscO	type III secretion protein O
K04057	yscP	type III secretion protein P
K04058	yscW	type III secretion protein W
K04059	yscX	type III secretion protein X
K04060	yscY, sctY	type III secretion protein Y
K04061	flhB2	flagellar biosynthesis protein
K04062	osmB	osmotically inducible lipoprotein OsmB
K04063	osmC, ohr	lipoyl-dependent peroxiredoxin
K04064	osmE	osmotically inducible lipoprotein OsmE
K04065	osmY	hyperosmotically inducible periplasmic protein
K04066	priA	primosomal protein N' (replication factor Y) (superfamily II helicase)
K04067	priC	primosomal replication protein N''
K04068	nrdG	anaerobic ribonucleoside-triphosphate reductase activating protein
K04069	pflA, pflC, pflE	pyruvate formate lyase activating enzyme
K04070	pflX	putative pyruvate formate lyase activating enzyme
K04072	adhE	acetaldehyde dehydrogenase / alcohol dehydrogenase
K04073	mhpF	acetaldehyde dehydrogenase
K04074	divIVA	cell division initiation protein
K04075	tilS, mesJ	tRNA(Ile)-lysidine synthase
K04076	lonB	ATP-dependent Lon protease
K04077	groEL	chaperonin GroEL
K04078	groES, HSPE1	chaperonin GroES
K04079	HSP90A	molecular chaperone HtpG
K04080	ibpA	molecular chaperone IbpA
K04081	ibpB	molecular chaperone IbpB
K04082	hscB, HSCB, HSC20	molecular chaperone HscB
K04083	hslO	molecular chaperone Hsp33
K04084	dsbD, dipZ	thioredoxin:protein disulfide reductase
K04085	tusA	tRNA 2-thiouridine synthesizing protein A
K04086	clpL	ATP-dependent Clp protease ATP-binding subunit ClpL
K04087	hflC	modulator of FtsH protease HflC
K04088	hflK	modulator of FtsH protease HflK
K04090	E1.2.7.8	indolepyruvate ferredoxin oxidoreductase
K04091	ssuD	alkanesulfonate monooxygenase
K04092	tyrA1	chorismate mutase
K04093	pheA1	chorismate mutase
K04094	trmFO, gid	methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase
K04095	fic, FICD, HYPE	cell filamentation protein, protein adenylyltransferase
K04096	smf	DNA processing protein
K04099	desB	gallate dioxygenase
K04102	pht5	4,5-dihydroxyphthalate decarboxylase
K04103	ipdC	indolepyruvate decarboxylase
K04107	hcrC	4-hydroxybenzoyl-CoA reductase subunit gamma
K04108	hcrA	4-hydroxybenzoyl-CoA reductase subunit alpha
K04109	hcrB	4-hydroxybenzoyl-CoA reductase subunit beta
K04114	bcrA	benzoyl-CoA reductase subunit A
K04116	aliA	cyclohexanecarboxylate-CoA ligase
K04117	aliB	cyclohexanecarboxyl-CoA dehydrogenase
K04127	cefD	isopenicillin-N epimerase
K04333	csgD	LuxR family transcriptional regulator, csgAB operon transcriptional regulatory protein
K04334	csgA	major curlin subunit
K04335	csgB	minor curlin subunit
K04336	csgC	curli production protein
K04337	csgE	curli production assembly/transport component CsgE
K04338	csgF	curli production assembly/transport component CsgF
K04343	strB	streptomycin 6-kinase
K04477	ycdX	putative hydrolase
K04479	dbh	DNA polymerase IV (archaeal DinB-like DNA polymerase)
K04480	mtaB	methanol---5-hydroxybenzimidazolylcobamide Co-methyltransferase
K04483	radA	DNA repair protein RadA
K04484	radB	DNA repair protein RadB
K04485	radA, sms	DNA repair protein RadA/Sms
K04486	E3.1.3.15B	histidinol-phosphatase (PHP family)
K04487	iscS	cysteine desulfurase
K04488	iscU, nifU	nitrogen fixation protein NifU and related proteins
K04496	CTBP	C-terminal binding protein
K04516	AROA1	chorismate mutase
K04517	tyrA2	prephenate dehydrogenase
K04518	pheA2	prephenate dehydratase
K04561	norB	nitric oxide reductase subunit B
K04562	flhG, fleN	flagellar biosynthesis protein FlhG
K04564	SOD2	superoxide dismutase, Fe-Mn family
K04565	SOD1	superoxide dismutase, Cu-Zn family
K04566	lysK	lysyl-tRNA synthetase, class I
K04567	KARS	lysyl-tRNA synthetase, class II
K04568	epmA, poxA	elongation factor P--(R)-beta-lysine ligase
K04618	GAOA	galactose oxidase
K04651	hypA, hybF	hydrogenase nickel incorporation protein HypA/HybF
K04652	hypB	hydrogenase nickel incorporation protein HypB
K04653	hypC	hydrogenase expression/formation protein HypC
K04654	hypD	hydrogenase expression/formation protein HypD
K04655	hypE	hydrogenase expression/formation protein HypE
K04656	hypF	hydrogenase maturation protein HypF
K04691	hhoB, degS	serine protease DegS
K04708	KDSR	3-dehydrosphinganine reductase
K04719	bluB	5,6-dimethylbenzimidazole synthase
K04720	cobD	threonine-phosphate decarboxylase
K04744	lptD, imp, ostA	LPS-assembly protein
K04748	norQ	nitric oxide reductase NorQ protein
K04749	rsbV	anti-sigma B factor antagonist
K04750	phnB	PhnB protein
K04751	glnB	nitrogen regulatory protein P-II 1
K04752	glnK	nitrogen regulatory protein P-II 2
K04753	sufI	suppressor of ftsI
K04754	mlaA, vacJ	phospholipid-binding lipoprotein MlaA
K04755	fdx	ferredoxin, 2Fe-2S
K04756	ahpD	lipoyl-dependent peroxiredoxin subunit D
K04757	rsbW	serine/threonine-protein kinase RsbW
K04758	feoA	ferrous iron transport protein A
K04759	feoB	ferrous iron transport protein B
K04760	greB	transcription elongation factor GreB
K04761	oxyR	LysR family transcriptional regulator, hydrogen peroxide-inducible genes activator
K04762	hslR	ribosome-associated heat shock protein Hsp15
K04763	xerD	integrase/recombinase XerD
K04764	ihfA, himA	integration host factor subunit alpha
K04765	mazG	nucleoside triphosphate diphosphatase
K04766	acuA	acetoin utilization protein AcuA
K04767	acuB	acetoin utilization protein AcuB
K04768	acuC	acetoin utilization protein AcuC
K04769	spoVT	AbrB family transcriptional regulator, stage V sporulation protein T
K04770	lonH	Lon-like ATP-dependent protease
K04771	degP	serine protease Do
K04772	degQ, hhoA	serine protease DegQ
K04773	sppA	protease IV
K04774	sohB	serine protease SohB
K04775	ydgD	protease YdgD
K04780	dhbF	glyine---[glycyl-carrier protein] ligase
K04781	mbtI	salicylate synthetase
K04782	pchB	isochorismate pyruvate lyase
K04783	irp5	yersiniabactin salicyl-AMP ligase
K04784	irp2	yersiniabactin nonribosomal peptide synthetase
K04785	irp3	yersiniabactin synthetase, thiazolinyl reductase component
K04786	irp1	yersiniabactin nonribosomal peptide/polyketide synthase
K04787	mbtA	mycobactin salicyl-AMP ligase
K04788	mbtB	mycobactin phenyloxazoline synthetase
K04794	PTH2, PTRH2	peptidyl-tRNA hydrolase, PTH2 family
K04795	flpA	fibrillarin-like pre-rRNA processing protein
K04796	RUXX	small nuclear ribonucleoprotein
K04797	pfdA, PFDN5	prefoldin alpha subunit
K04798	pfdB, PFDN6	prefoldin beta subunit
K04799	FEN1	flap endonuclease-1
K04800	rfcL	replication factor C large subunit
K04801	rfcS	replication factor C small subunit
K04802	PCNA	proliferating cell nuclear antigen
K04835	mal	methylaspartate ammonia-lyase
K04940	odh	opine dehydrogenase
K05020	opuD, betL	glycine betaine transporter
K05245	caiT	L-carnitine/gamma-butyrobetaine antiporter
K05275	E1.1.1.65	pyridoxine 4-dehydrogenase
K05281	IFR	2'-hydroxyisoflavone reductase
K05286	PIGB	GPI mannosyltransferase 3
K05296	E1.1.1.51	3(or 17)beta-hydroxysteroid dehydrogenase
K05297	rubB	rubredoxin---NAD+ reductase
K05299	fdhA	formate dehydrogenase (NADP+) alpha subunit
K05303	K05303	O-methyltransferase
K05304	NANS	sialic acid synthase
K05305	FUK	fucokinase
K05306	phnX	phosphonoacetaldehyde hydrolase
K05308	gnaD	gluconate/galactonate dehydratase
K05311	cggR	central glycolytic genes regulator
K05337	fer	ferredoxin
K05338	lrgA	holin-like protein
K05339	lrgB	holin-like protein LrgB
K05340	glcU	glucose uptake protein
K05341	E2.4.1.4	amylosucrase
K05342	treP	alpha,alpha-trehalose phosphorylase
K05343	treS	maltose alpha-D-glucosyltransferase / alpha-amylase
K05346	deoR	deoxyribonucleoside regulator
K05349	bglX	beta-glucosidase
K05350	bglB	beta-glucosidase
K05351	E1.1.1.9	D-xylulose reductase
K05352	tarJ	ribitol-5-phosphate 2-dehydrogenase (NADP+)
K05356	SPS	all-trans-nonaprenyl-diphosphate synthase
K05358	quiA	quinate dehydrogenase (quinone)
K05362	murE	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate-L-lysine ligase
K05363	murM	serine/alanine adding enzyme
K05364	pbpA	penicillin-binding protein A
K05365	mrcB	penicillin-binding protein 1B
K05366	mrcA	penicillin-binding protein 1A
K05367	pbpC	penicillin-binding protein 1C
K05368	fre	NAD(P)H-flavin reductase
K05372	ybtA	AraC family transcriptional regulator
